year,birth,death
1899,32,21.5
1900,32.4,20.8
1901,33.9,20.9
1902,33.6,21.3
1903,32.7,20.4
1904,31.2,20.7
1905,31.2,21.6
1906,29.6,20.3
1907,34,21.4
1908,34.7,21.5
1909,34.9,22.5
1910,34.8,21.6
1911,35.1,20.9
1912,34.4,20.5
1913,34.3,20
1914,34.8,21.2
1915,34.1,20.7
1916,33.7,22.2
1917,33.5,22.2
1918,32.7,27.3
1919,32.3,23.3
1920,36.2,25.4
1921,35.1,22.7
1922,34.3,22.4
1923,35.2,22.9
1924,33.9,21.3
1925,34.9,20.3
1926,34.6,19.1
1927,33.4,19.7
1928,34.1,19.8
1929,32.7,19.9
1930,32.4,18.2
1931,32.1,19
1932,32.9,17.7
1933,31.5,17.7
1934,29.9,18.1
1935,31.6,16.8
1936,30,17.5
1937,30.9,17.1
1938,27.2,17.7
1939,26.6,17.8
1940,29.4,16.5
1941,31.8,16
1942,30.9,16.1
1943,30.9,16.7
1947,34.3,14.6
1948,33.5,11.9
1949,33,11.6
1950,28.1,10.9
1951,25.3,9.9
1952,23.4,8.9
1953,21.5,8.9
1954,20,8.2
1955,19.4,7.8
1956,18.4,8
1957,17.2,8.3
1958,18,7.4
1959,17.5,7.4
1960,17.2,7.6
1961,16.9,7.4
1962,17,7.5
1963,17.3,7
1964,17.7,6.9
1965,18.6,7.1
1966,13.7,6.8
1967,19.4,6.8
1968,18.6,6.8
1969,18.5,6.8
1970,18.8,6.9
1971,19.2,6.6
1972,19.3,6.5
1973,19.4,6.6
1974,18.6,6.5
1975,17.1,6.3
1976,16.3,6.3
1977,15.5,6.1
1978,14.9,6.1
1979,14.2,6
1980,13.6,6.2
1981,13,6.1
1982,12.8,6
1983,12.7,6.2
1984,12.5,6.2
1985,11.9,6.3
1986,11.4,6.2
1987,11.1,6.2
1988,10.8,6.5
1989,10.2,6.4
1990,10,6.7
1991,9.9,6.7
1992,9.8,6.9
1993,9.6,7.1
1994,10,7.1
1995,9.6,7.4
1996,9.7,7.2
1997,9.5,7.3
1998,9.6,7.5
1999,9.4,7.8
2000,9.5,7.7
2001,9.3,7.7
2002,9.2,7.8
2003,8.9,8
2004,8.8,8.2
2005,8.4,8.6
2006,8.7,8.6
2007,8.6,8.8
2008,8.7,9.1
2009,8.5,9.1
2010,8.5,9.5
2011,8.3,9.9
2012,8.2,10
2013,8.2,10.1
2014,8,10.1
2015,8,10.3
2016,7.8,10.5
2017,7.6,10.8
2018,7.4,11
2019,7,11.2
